,Year,Sex,Country,Continent,Country_latitude,Country_longitude,Continent_latitude,Continent_longitude,Count,Ratio
0,1896,M,Australia,Oceania,-25.274398,133.775136,-14.235,141.2551,1,1.0
1,1896,M,Austria,Europe,47.516231,14.550072,54.526,15.2551,3,1.0
2,1896,M,Denmark,Europe,56.26392,9.501785,54.526,15.2551,3,1.0
3,1896,M,France,Europe,46.227638,2.213749,54.526,15.2551,12,1.0
4,1896,M,Germany,Europe,51.165691,10.451526,54.526,15.2551,19,1.0
5,1896,M,Greece,Europe,39.074208,21.824312,54.526,15.2551,102,1.0
6,1896,M,Hungary,Europe,47.162494,19.503304,54.526,15.2551,7,1.0
7,1896,M,Italy,Europe,41.87194,12.56738,54.526,15.2551,1,1.0
8,1896,M,Sweden,Europe,60.128161,18.643501,54.526,15.2551,1,1.0
9,1896,M,Switzerland,Europe,46.818188,8.227512,54.526,15.2551,3,1.0
10,1896,M,UK,Europe,55.378051,-3.435973,54.526,15.2551,10,1.0
11,1896,M,USA,North America,37.09024,-95.712891,54.526,-105.2551,14,1.0
12,1900,F,Czech Republic,Europe,49.817492,15.472962,54.526,15.2551,1,0.14285714285714285
13,1900,F,France,Europe,46.227638,2.213749,54.526,15.2551,12,0.01675977653631285
14,1900,F,Italy,Europe,41.87194,12.56738,54.526,15.2551,1,0.043478260869565216
15,1900,F,Switzerland,Europe,46.818188,8.227512,54.526,15.2551,1,0.05555555555555555
16,1900,F,UK,Europe,55.378051,-3.435973,54.526,15.2551,1,0.009615384615384616
17,1900,F,USA,North America,37.09024,-95.712891,54.526,-105.2551,7,0.09333333333333334
18,1900,M,Argentina,South America,-38.416097,-63.616672,-14.235,-59.2551,1,1.0
19,1900,M,Australia,Oceania,-25.274398,133.775136,-14.235,141.2551,2,1.0
20,1900,M,Austria,Europe,47.516231,14.550072,54.526,15.2551,16,1.0
21,1900,M,Belgium,Europe,50.503887,4.469936,54.526,15.2551,64,1.0
22,1900,M,Brazil,South America,-14.235004,-51.92528,-14.235,-59.2551,1,1.0
23,1900,M,Canada,North America,56.130366,-106.346771,54.526,-105.2551,4,1.0
24,1900,M,Colombia,South America,4.570868,-74.297333,-14.235,-59.2551,1,1.0
25,1900,M,Cuba,North America,21.521757,-77.781167,54.526,-105.2551,1,1.0
26,1900,M,Czech Republic,Europe,49.817492,15.472962,54.526,15.2551,6,0.8571428571428571
27,1900,M,Denmark,Europe,56.26392,9.501785,54.526,15.2551,13,1.0
28,1900,M,France,Europe,46.227638,2.213749,54.526,15.2551,704,0.9832402234636871
29,1900,M,Germany,Europe,51.165691,10.451526,54.526,15.2551,76,1.0
30,1900,M,Greece,Europe,39.074208,21.824312,54.526,15.2551,3,1.0
31,1900,M,Haiti,North America,18.971187,-72.285215,54.526,-105.2551,3,1.0
32,1900,M,Hungary,Europe,47.162494,19.503304,54.526,15.2551,18,1.0
33,1900,M,India,Asia,20.593684,78.96288,34.0479,100.6197,1,1.0
34,1900,M,Iran,Asia,32.427908,53.688046,34.0479,100.6197,1,1.0
35,1900,M,Italy,Europe,41.87194,12.56738,54.526,15.2551,22,0.9565217391304348
36,1900,M,Luxembourg,Europe,49.815273,6.129583,54.526,15.2551,1,1.0
37,1900,M,Mexico,North America,23.634501,-102.552784,54.526,-105.2551,3,1.0
38,1900,M,Netherlands,Europe,52.132633,5.291266,54.526,15.2551,35,1.0
39,1900,M,New Zealand,Oceania,-40.900557,174.885971,-14.235,141.2551,1,1.0
40,1900,M,Norway,Europe,60.472024,8.468946,54.526,15.2551,7,1.0
41,1900,M,Peru,South America,-9.189967,-75.015152,-14.235,-59.2551,1,1.0
42,1900,M,Romania,Europe,45.943161,24.96676,54.526,15.2551,1,1.0
43,1900,M,Russia,Europe,61.52401,105.318756,54.526,15.2551,4,1.0
44,1900,M,Spain,Europe,40.463667,-3.74922,54.526,15.2551,9,1.0
45,1900,M,Sweden,Europe,60.128161,18.643501,54.526,15.2551,10,1.0
46,1900,M,Switzerland,Europe,46.818188,8.227512,54.526,15.2551,17,0.9444444444444444
47,1900,M,UK,Europe,55.378051,-3.435973,54.526,15.2551,103,0.9903846153846154
48,1900,M,USA,North America,37.09024,-95.712891,54.526,-105.2551,68,0.9066666666666666
